width,depth,type
120,200,beam
120,270,beam
120,335,beam
120,410,beam
165,200,beam
165,270,beam
165,335,beam
165,410,beam
165,480,beam
205,270,beam
205,335,beam
205,410,beam
205,480,beam
205,550,beam
250,335,beam
250,410,beam
250,480,beam
250,550,beam
250,620,beam
290,410,beam
290,480,beam
290,550,beam
290,620,beam
290,690,beam
335,480,beam
335,550,beam
335,620,beam
335,690,beam
335,760,beam
380,550,beam
380,620,beam
380,690,beam
380,760,beam
380,830,beam
420,620,beam
420,690,beam
420,760,beam
420,830,beam
450,690,beam
450,760,beam
450,830,beam
90,90,column
90,120,column
120,120,column
120,165,column
165,165,column
165,205,column
205,205,column
205,250,column
250,250,column
290,290,column
335,335,column
380,380,column
420,420,column
450,450,column
45,140,joist
45,190,joist
45,240,joist
45,290,joist
70,140,joist
70,190,joist
70,240,joist
70,290,joist
70,340,joist
90,190,joist
90,240,joist
90,290,joist
90,340,joist
